%time,field.left_wheels,field.right_wheels
1558096751324735758,0.0,0.0
1558096751408124742,0.0,0.0
1558096751488448108,0.0,0.0
1558096751592197068,0.0,0.0
1558096751691695969,1.57552292995,2.00853052026
1558096751791444515,3.2580687307,3.67898780427
1558096751891435584,5.25833615515,5.41047584603
1558096751991546054,6.30209171979,6.34344835941
1558096752091566423,6.39998554913,6.64076526829
1558096752191433832,5.80603515918,5.87712938776
1558096752291500146,5.11826789072,5.32247827192
1558096752391601810,4.81593173125,4.6393199114
1558096752491443124,4.83445943788,4.41506234519
1558096752591499084,3.91841949108,3.89706709197
1558096752691729635,3.67345698049,3.92668422779
1558096752791444842,4.24718924789,4.18356094881
1558096752891426686,4.15142755363,4.25906497204
1558096752991633074,4.19928850174,4.03058975223
1558096753091421995,4.25365874009,3.68360964824
1558096753191426078,3.69568080818,3.73047491094
1558096753291472039,3.62621000659,3.68175951783
1558096753391464934,3.67437743902,4.15967269116
1558096753491423033,3.6725365546,4.20878211505
1558096753591426949,4.19928850174,3.68268435067
1558096753688363942,4.42438916147,4.18460579421
1558096753791465469,3.71911862102,4.14014371139
1558096753891419920,4.4920004329,3.72762939232
1558096753991471639,3.95728889186,3.94318622916
1558096754091769494,4.32502888664,3.93406001409
1558096754191518577,4.01321246241,4.30613251092
1558096754291603009,4.20244850665,4.01898815064
1558096754391423461,3.89292784175,3.68453541091
1558096754491425870,3.47493851827,3.90329243876
1558096754591655722,3.6966128731,3.48733739296
1558096754691427890,3.72668170551,4.20983959799
1558096754791442580,4.21938069697,3.73808424273
1558096754891492135,4.11877151444,4.22789846076
1558096754991510734,3.73047479453,4.1268870936
1558096755091426126,4.42088697978,3.77077325103
1558096755191482093,4.41131664771,3.90121511442
1558096755291705380,4.20034147199,4.41959127784
1558096755391411016,3.71911862102,4.73606954774
1558096755491414546,3.62890254829,4.26123133266
1558096755591498899,3.6725365546,4.12282519685
1558096755691408673,4.25150005389,4.21089761247
1558096755791414068,4.19403302612,4.26339989822
1558096755891460430,4.14629111951,4.20139458375
1558096755991458070,4.22683197669,4.15967269116
1558096756091407443,4.19823654913,3.68360964824
1558096756191409991,4.19823654913,3.15658658628
1558096756291412348,1.57552292995,1.0524598995
1558096756391407609,0.0,0.0
1558096756491413523,-1.6728396336,-1.07239897593
1558096756591470008,-2.47388998933,-2.25446200215
1558096756691717699,-2.70244546352,-2.9756976557
1558096756791489212,-3.00558990317,-3.7941942029
1558096756891596240,-3.15183637999,-4.01802436451
1558096756991446160,-3.89292784175,-3.6578758483
1558096757091421248,-3.97324182016,-3.34300909816
1558096757191769850,-4.20139447986,-3.88210417053
1558096757291411060,-4.25906480629,-4.20983959799
1558096757391414504,-3.71252627804,-4.27427591837
1558096757491471912,-4.11775903918,-4.23110141414
1558096757591486122,-4.25906480629,-3.61458737673
1558096757691406675,-4.4466988756,-3.73713137905
1558096757791474404,-3.92300655116,-3.89292788104
1558096757891693453,-3.64786415241,-3.95822386015
1558096757991397842,-3.7162905919,-4.20983959799
1558096758091437937,-3.62980122997,-3.6975451198
1558096758191446522,-4.20034147199,-3.63790729529
1558096758291394455,-4.78293756063,-3.68453541091
1558096758391437841,-3.67161701803,-3.70689415929
1558096758491452049,-3.62621000659,-4.20772516323
1558096758591436925,-4.20034147199,-4.16070563695
1558096758691390831,-3.67898794926,-4.73606954774
1558096758791397830,-3.69847797961,-4.20983959799
1558096758891393625,-4.19928850174,-3.68360964824
1558096758991401924,-4.2493435576,-3.68360964824
1558096759091402046,-4.49803000966,-3.72668185053
1558096759191453245,-3.96196789806,-3.94637049798
1558096759291711654,-3.7649630441,-3.99407904648
1558096759391469251,-4.00841170913,-4.3429656817
1558096759491586014,-3.67898794926,-4.01706104052
1558096759591411267,-3.89810327047,-3.68731549296
1558096759691412302,-3.96853660102,-3.90953770667
1558096759791662584,-4.20139447986,-3.9526212786
1558096759891403920,-4.26014797156,-4.21089761247
1558096759991405451,-3.69102882319,-4.27100729034
1558096760091467966,-4.11877151444,-4.22363539198
1558096760191511408,-3.74955665248,-4.12181097171
1558096760291395705,-3.89499636325,-4.27100729034
1558096760391450848,-4.40616103195,-3.90641257661
1558096760491660686,-4.20244850665,-3.95355394054
1558096760591387124,-3.71534901718,-3.68360964824
1558096760691383439,-4.11978401601,-4.28849797799
1558096760791442791,-3.67714244332,-4.15864025813
1558096760891382644,-3.72100651277,-3.68453541091
1558096760991390768,-4.2045576563,-3.73427570046
1558096761091442221,-4.14219092385,-3.68175951783
1558096761191457678,-4.19718463383,-4.13095700197
1558096761291382102,-4.19718463383,-4.20983959799
1558096761391382473,-1.57473318815,-1.57829329314
1558096761491479801,0.0,0.526097764381
1558096761591382646,1.06966046549,1.0524598995
1558096761691382995,1.68630854989,2.12953248602
1558096761791431603,2.47155446053,3.38260328398
1558096761891728197,3.24460920601,3.4724695405
1558096761991511302,4.11978401601,3.25638020212
1558096762091632398,3.65058938287,4.012251341
1558096762191420322,3.65058938287,4.21195615887
1558096762291418889,3.97230005937,3.90121511442
1558096762391644220,4.20244850665,3.98173992395
1558096762491424557,4.14116690338,4.33061814422
1558096762591451223,3.68453559865,3.71158643038
1558096762691478146,4.11978401601,3.69941115317
1558096762791489597,4.25581961954,4.13095700197
1558096762891423222,4.44787931963,4.26991885831
1558096762991595899,4.44041389336,4.32838067683
1558096763091703968,4.20034147199,3.93683308271
1558096763191408230,3.7181756129,4.20983959799
1558096763291409870,3.62441705837,3.73142438279
1558096763391453637,3.67714244332,3.63790729529
1558096763491403445,3.69474964675,3.70783166414
1558096763591410679,4.19613373489,3.73522710828
1558096763691462804,4.14629111951,3.67529867135
1558096763791462827,4.19823654913,4.15245640644
1558096763891403912,3.67529878799,4.20878211505
1558096763991428093,4.19823654913,4.18251662506
1558096764091408322,4.20666892412,4.20983959799
1558096764191400713,3.71911862102,4.21089761247
1558096764291404520,3.93050037879,4.26123133266
1558096764391457529,3.98363338435,3.94000709487
1558096764491726305,4.33397857279,3.95915916824
1558096764591478880,4.11978401601,3.80305224384
1558096764691590977,4.20139447986,3.51745834933
1558096764791411126,3.88982917572,3.68638833291
1558096764891415353,3.94796438938,3.92839399786
1558096764991640897,4.20034147199,3.9807939178
1558096765091418899,4.13912085677,3.79321252264
1558096765191418362,3.69568080818,3.73808424273
1558096765291473289,4.11674753258,3.70221373737
1558096765391516695,4.26339976518,3.58629315068
1558096765491404758,3.88879738295,4.27318581994
1558096765591609533,3.83764564773,4.41622604112
1558096765691697119,3.67345698049,4.4123494382
1558096765791391122,4.27427586767,4.20983959799
1558096765891392290,4.14834426282,3.72668185053
1558096765991436622,4.20139447986,4.15967269116
1558096766091423020,3.7238421671,4.17626161515
1558096766191391484,3.66886031399,3.73332477718
1558096766291441487,4.11877151444,4.23537957533
1558096766391431901,3.67437743902,3.63971360477
1558096766491395294,1.04982212543,1.57591813394
1558096766591388071,0.0,0.0
1558096766691392820,0.0,-1.57829329314
1558096766791421139,-1.59390798044,-2.09073641128
1558096766891390026,-2.80750027056,-2.13007393847
1558096766991442011,-3.96384251279,-3.37896509814
1558096767091706523,-3.79125057883,-3.96665757576
1558096767191462779,-4.03447166627,-3.79911023581
1558096767291578901,-3.67806474995,-4.01609817833
1558096767391411893,-3.34478874157,-4.21407484909
1558096767491403829,-3.47329238888,-4.46566140725
1558096767591631550,-4.20350257137,-3.97512730724
1558096767691402180,-4.23430912208,-3.71158643038
1558096767791402781,-4.21513474721,-3.74285585908
1558096767891465296,-4.62679372188,-3.70221373737
1558096767991487732,-3.72100651277,-4.12790381867
1558096768091520228,-3.88056294373,-4.26883098089
1558096768191473515,-4.4144161976,-4.42555773904
1558096768291668828,-4.20139447986,-4.42374015489
1558096768391376113,-4.24718924789,-3.68360964824
1558096768491377414,-4.14834426282,-3.72668185053
1558096768591427572,-4.228965679,-4.15864025813
1558096768691379373,-3.72195139758,-4.20983959799
1558096768791381078,-3.67622016988,-4.26774365767
1558096768891431276,-4.14014386548,-3.68360964824
1558096768991426250,-4.19823654913,-3.6370048127
1558096769091381102,-3.64968037937,-4.23645046776
1558096769191397538,-3.67345698049,-3.68268435067
1558096769291383887,-4.20244850665,-3.68175951783
1558096769391380780,-3.71723264398,-4.20983959799
1558096769491384170,-3.93683313447,-3.72952592216
1558096769591461872,-3.96009505561,-3.91789588455
1558096769691695450,-3.82587842208,-3.97324202039
1558096769791456590,-4.00553712306,-4.33622194617
1558096769891568170,-3.67622016988,-4.5159455678
1558096769991484095,-4.48478624459,-3.68546163901
1558096770091421005,-4.46883756679,-3.31741583949
1558096770191609944,-4.20034147199,-3.98268637984
1558096770291385760,-3.72857728534,-3.68453541091
1558096770391392077,-4.21938069697,-3.73808424273
1558096770491447780,-3.58016254718,-3.72195135821
1558096770591462575,-3.72762947511,-4.12790381867
1558096770691376413,-3.88982917572,-3.73713137905
1558096770791435136,-3.92300655116,-4.45734546422
1558096770891671130,-3.67529878799,-4.42166474314
1558096770991396380,-4.24718924789,-4.18356094881
1558096771091371352,-4.14937135791,-4.79144809354
1558096771191419399,-4.19823654913,-4.67730937965
1558096771291369194,-4.25473865389,-3.68360964824
1558096771391368971,-4.22683197669,-3.73332477718
1558096771491421975,-4.66457750945,-3.15658658628
1558096771591424069,-1.04929615846,-1.03837144274
1558096771691369486,0.0,0.0
1558096771791372374,1.050085368,1.05219552876
1558096771891372288,2.08709047156,2.11929693903
1558096771991370256,3.19024405507,3.15896711916
1558096772091374461,3.36449024978,3.73237433809
1558096772191416958,3.46262778037,3.94318622916
1558096772291691709,3.78440027581,3.96290482498
1558096772391459744,4.0151358955,3.76399650834
1558096772491545120,3.67622016988,3.5183024718
1558096772591371990,4.44551905796,3.68638833291
1558096772691373738,3.97418446655,3.89914
1558096772791608276,4.23217002572,3.9807939178
1558096772891367242,3.72762947511,4.21089761247
1558096772991374529,4.21831865507,4.27100729034
1558096773091434773,4.11371505161,4.23537957533
1558096773191444730,3.72762947511,4.13197573366
1558096773291369654,3.86623586176,3.75917087179
1558096773391428242,3.92668411039,3.3447887144
1558096773491653686,4.19928850174,3.93036866057
1558096773591358154,3.72006254716,4.21195615887
1558096773691356674,3.63159951041,3.72573479034
1558096773791432777,3.7238421671,4.13197573366
1558096773891353814,4.1432149738,3.73617900102
1558096773991411171,4.28082820556,3.63610277778
1558096774091389553,4.1432149738,3.70408448711
1558096774191406884,4.22683197669,4.15348577095
1558096774291358746,4.19718463383,3.67714231252
1558096774391353213,4.19823654913,4.20983959799
1558096774491353541,3.67714244332,3.68268435067
1558096774591368180,3.83990741794,3.68731549296
1558096774691360256,4.46328232237,3.75147553736
1558096774791404236,4.4530019808,3.94212594784
1558096774891664295,3.78440027581,4.46989727294
1558096774991423234,3.50903922434,4.34071544041
1558096775091558072,3.52591784843,4.16898770839
1558096775191393749,3.88879738295,3.65970204693
1558096775291357655,4.47201801132,4.45853155934
1558096775391583732,4.20139447986,3.97984836105
1558096775491361745,4.26014797156,4.21089761247
1558096775591481546,3.7162905919,3.63339935564
1558096775691424569,4.11775903918,4.23110141414
1558096775791436542,4.26665703275,4.12892104485
1558096775891356025,3.89086151615,3.74094575147
1558096775991415493,3.9175031101,3.90121511442
1558096776091642164,4.17210215185,3.95355394054
1558096776191350425,3.72478805209,4.21089761247
1558096776291345894,3.62441705837,4.26339989822
1558096776391406776,3.7181756129,3.63971360477
1558096776491343180,4.14219092385,4.41622604112
1558096776591462793,3.72195139758,3.5731821594
1558096776691339229,1.03580374345,1.59999633308
1558096776791379981,0.0,-0.519959086395
1558096776891337290,0.0,-1.05193129081
1558096776991370423,-2.11394915512,-1.56766107784
1558096777091337973,-3.15025610399,-2.63181100779
1558096777191347736,-3.28790455365,-3.68638833291
1558096777291342626,-3.36990379102,-3.72762939232
1558096777391392596,-3.95728889186,-3.3798739107
1558096777491657975,-3.76013511835,-3.99503137816
1558096777591418906,-4.00362287328,-4.34521825726
1558096777691538668,-4.08363694257,-4.12587086924
1558096777791349676,-3.89603144855,-4.21301523762
1558096777891354461,-3.96853660102,-4.46447151612
1558096777991606981,-3.67622016988,-3.95355394054
1558096778091385649,-4.26557055546,-3.65331831547
1558096778191482008,-4.21938069697,-4.15245640644
1558096778291412921,-4.11371505161,-4.23537957533
1558096778391431921,-3.74572467986,-4.12485514525
1558096778491342276,-3.88364661887,-3.74094575147
1558096778591493714,-3.92025311269,-3.80305224384
1558096778691618770,-4.72419956445,-3.44230251233
1558096778791335451,-4.2461131625,-3.68453541091
1558096778891324007,-3.60569738857,-3.75243573074
1558096778991375118,-3.18943415381,-3.64061743233
1558096779091329410,-3.62531310207,-3.73237433809
1558096779191382047,-4.25042128117,-4.67267149232
1558096779291327295,-4.1432149738,-4.26231533961
1558096779391398185,-4.19928850174,-4.64961933892
1558096779491327360,-3.67437743902,-4.20878211505
1558096779591327565,-3.67437743902,-3.68268435067
1558096779691324971,-4.20350257137,-4.20878211505
1558096779791331738,-4.63874902076,-4.21301523762
